Date,S&P 500 Healthcare,S&P 500 IT Services,S&P 500 Telecommunication services,S&P 500 Financial ,S&P 500 Consumer Discretionary,S&P 500 Consumer Staples,S&P 500 Energy,S&P 500 Utilities,S&P 500 Industrials,S&P 500 Materials,S&P 500 Real Estate,S&P 500
1/1/2019,998.85,381.43,145.21,403.47,817.35,525.52,449.14,266.08,552.56,322.39,192.34,2549.69
1/8/2019,1005.45,388.88,146.47,409.68,822.70,527.67,457.43,264.22,571.14,324.92,197.82,2582.61
1/15/2019,1042.81,399.39,149.76,431.64,847.21,538.36,471.53,269.76,590.15,335.00,202.59,2670.71
1/22/2019,1017.44,402.87,147.02,430.48,841.03,533.33,459.90,269.50,583.82,332.44,207.60,2643.85
1/29/2019,1046.61,416.85,153.68,433.72,851.55,549.80,480.26,277.42,612.79,334.73,212.94,2724.87
2/5/2019,1039.02,418.12,150.78,426.60,845.04,553.80,465.97,282.14,617.56,330.92,214.98,2709.80
2/12/2019,1073.62,427.82,153.28,437.75,865.07,558.54,485.89,281.68,635.82,341.41,216.78,2775.60
2/19/2019,1070.57,431.20,154.41,439.97,870.98,558.00,484.13,286.47,642.33,351.44,215.39,2796.11
2/26/2019,1059.39,433.91,155.24,438.91,873.56,557.96,489.64,288.68,637.82,345.03,215.35,2792.81
3/5/2019,1044.33,435.90,157.88,433.99,865.85,562.12,476.99,292.20,628.06,346.43,218.76,2783.30
3/12/2019,1063.83,444.71,157.29,447.08,883.85,568.68,491.57,294.20,629.74,347.89,219.01,2832.94
3/19/2019,1048.70,441.96,158.17,419.44,889.79,571.15,484.83,297.01,616.31,339.78,222.29,2798.36
3/26/2019,1064.24,459.42,159.97,437.53,911.77,578.90,496.14,293.05,645.46,352.48,223.73,2867.19
4/2/2019,1065.10,460.19,162.08,442.06,933.91,576.53,502.90,292.56,646.27,362.21,225.33,2895.77
4/9/2019,1042.89,464.74,165.14,447.81,938.16,583.78,496.76,295.30,647.67,362.09,225.79,2905.58
4/16/2019,994.29,462.25,167.17,452.49,941.93,585.13,507.08,290.31,657.60,359.56,217.56,2907.97
4/23/2019,1027.85,471.29,171.89,464.22,954.06,586.44,489.24,292.85,654.68,356.71,220.45,2943.03
4/30/2019,1049.13,466.58,167.14,462.42,948.21,589.48,474.19,293.76,653.88,349.89,224.01,2932.47
5/7/2019,1009.16,450.26,160.19,441.95,902.79,583.37,464.19,296.79,623.48,337.24,223.35,2811.87
5/14/2019,1021.56,467.93,162.83,446.13,913.17,592.18,468.55,297.46,627.59,337.02,222.72,2840.23
5/21/2019,1033.95,466.21,162.38,444.42,899.17,590.84,452.22,301.90,620.08,336.33,227.00,2826.06
5/28/2019,1010.07,452.13,153.13,433.60,868.21,577.48,438.01,296.99,609.09,340.58,226.07,2744.45
6/4/2019,1053.78,485.86,158.75,452.62,923.23,599.32,451.19,300.64,636.44,359.72,230.28,2886.73
6/11/2019,1057.19,482.19,162.90,446.34,936.83,601.58,451.55,304.98,630.86,357.59,234.86,2889.67
6/18/2019,1079.75,490.52,165.75,450.77,943.98,605.09,466.21,309.64,648.24,363.43,233.24,2945.35
6/25/2019,1072.47,487.76,164.23,458.92,945.58,597.34,471.74,303.04,651.69,367.14,227.26,2964.33
7/2/2019,1077.00,487.76,167.22,464.87,966.92,611.41,467.30,308.25,647.59,365.16,234.33,2975.95
7/9/2019,1071.79,509.82,170.84,467.48,989.17,617.13,472.47,308.69,657.74,366.68,233.29,3014.30
7/16/2019,1059.39,509.89,165.77,464.65,971.08,613.96,466.07,305.64,652.93,365.66,227.57,2985.03
7/23/2019,1069.15,514.28,172.23,472.36,972.17,622.50,459.92,305.83,660.02,368.87,230.41,3020.97
7/30/2019,1028.13,476.38,162.14,442.67,907.67,592.59,432.63,300.49,620.74,352.51,229.48,2844.74
8/6/2019,1046.00,487.31,164.24,441.23,919.69,604.79,429.73,307.45,625.69,355.86,237.47,2882.70
8/13/2019,1056.18,498.95,166.64,444.53,926.72,624.42,428.01,312.07,630.49,357.08,241.00,2923.65
8/20/2019,1035.41,493.16,163.52,436.50,925.72,618.33,412.53,314.19,618.66,344.55,240.59,2878.38
8/27/2019,1046.74,502.25,166.58,445.65,940.47,621.27,422.09,315.97,636.24,354.28,242.44,2926.46
9/3/2019,1044.07,503.70,170.20,460.99,967.99,626.83,441.27,315.12,649.50,355.58,243.75,2978.43
9/10/2019,1053.26,494.16,170.99,469.39,956.40,616.76,462.55,317.38,665.21,363.30,240.35,2997.96
9/17/2019,1059.70,490.69,169.98,467.76,950.35,621.15,452.76,324.50,655.24,365.23,243.39,2991.78
9/24/2019,1043.37,488.71,167.26,465.54,947.27,629.38,437.13,328.49,654.89,364.66,243.60,2976.74
10/1/2019,1038.97,485.89,167.05,453.65,933.12,624.92,419.86,327.59,634.48,351.82,243.33,2938.79
10/8/2019,1040.14,491.12,167.92,459.86,945.88,621.80,427.54,322.23,646.23,356.78,242.98,2966.15
10/15/2019,1060.84,485.94,171.19,473.09,963.29,625.49,428.49,325.13,652.36,359.34,248.76,3006.72
10/22/2019,1076.07,491.05,172.68,477.97,954.33,625.95,436.14,321.23,664.12,366.38,241.66,3039.42
10/29/2019,1093.62,492.66,173.95,487.06,957.26,621.43,451.12,321.00,684.05,372.93,239.97,3078.27
11/5/2019,1095.63,494.98,174.59,493.20,951.46,622.74,443.65,310.94,688.92,376.99,234.13,3087.01
11/12/2019,1122.50,503.96,178.12,493.95,954.93,632.65,434.57,318.39,690.07,377.47,239.30,3122.03
11/19/2019,1147.99,507.69,177.13,498.74,952.54,629.08,438.86,317.30,691.65,374.24,235.33,3133.64
11/26/2019,1143.63,506.98,176.69,495.74,953.48,635.73,431.49,315.90,677.64,371.70,234.26,3113.87
12/3/2019,1151.20,507.95,178.96,501.07,953.89,640.88,436.83,317.56,678.85,374.82,238.11,3135.96
12/10/2019,1176.30,516.98,180.12,509.67,967.51,643.49,447.64,323.71,686.00,379.33,233.47,3191.45
12/17/2019,1194.33,519.56,182.18,509.28,976.16,646.79,457.28,325.02,692.34,383.65,236.59,3224.01
12/24/2019,1184.66,518.38,181.28,509.90,984.82,646.58,453.39,326.67,687.40,382.97,238.80,3221.29
12/31/2019,1187.27,523.24,185.24,510.23,994.12,642.07,462.34,324.98,699.04,373.19,239.26,3246.28
1/7/2020,1193.90,538.21,188.08,513.18,997.67,648.53,454.25,328.97,704.16,378.97,242.77,3288.13
1/14/2020,1217.69,551.64,191.10,515.28,1005.68,656.56,448.77,339.11,711.83,383.98,245.70,3329.62
1/21/2020,1184.21,544.44,185.29,496.28,975.64,651.35,417.87,346.20,691.38,367.40,247.14,3243.63
1/28/2020,1164.64,550.12,185.16,500.06,997.96,648.19,400.02,351.22,683.84,369.72,243.94,3248.92
2/4/2020,1205.41,565.05,190.46,513.56,1028.76,662.48,405.24,349.06,709.17,377.33,250.82,3352.09
2/11/2020,1209.53,573.57,191.50,516.18,1042.54,665.35,409.82,356.33,712.80,380.03,259.71,3380.16
2/18/2020,1164.14,548.52,182.85,493.01,994.64,648.06,386.70,351.54,683.15,368.08,256.23,3225.89
2/25/2020,1127.57,521.31,177.39,462.16,947.78,627.84,353.68,332.25,635.40,344.38,239.21,3090.23
3/3/2020,1070.44,456.94,158.44,376.60,852.13,604.41,254.65,319.67,552.41,303.99,221.47,2746.56
3/10/2020,948.61,402.87,141.15,327.87,714.98,541.45,208.41,256.95,468.10,257.52,181.99,2386.13
3/17/2020,870.99,363.29,137.76,293.55,713.84,500.95,181.03,227.75,412.06,241.67,158.62,2237.40
3/24/2020,1036.98,440.96,151.13,356.70,807.52,571.52,219.81,293.57,505.54,287.35,199.13,2626.65
3/31/2020,1065.43,448.85,153.48,350.26,811.31,591.38,241.07,283.61,509.10,288.23,195.02,2663.68
4/7/2020,1095.15,454.93,158.29,374.38,866.22,592.61,258.57,299.19,518.92,316.31,210.39,2761.63
4/14/2020,1164.79,453.24,163.18,365.35,912.37,609.15,251.60,295.87,519.05,308.28,206.40,2823.16
4/21/2020,1183.79,473.83,165.55,374.02,933.05,604.23,270.07,299.50,533.32,321.78,211.23,2878.48
4/28/2020,1138.72,478.50,168.53,362.44,918.01,590.54,282.38,285.74,519.21,320.75,203.76,2842.74
5/5/2020,1177.17,500.19,174.47,362.42,953.00,594.47,289.78,283.74,526.51,325.31,204.25,2930.19
5/12/2020,1178.58,511.07,175.85,367.15,972.49,596.29,292.87,288.82,534.90,334.75,201.21,2953.91
5/19/2020,1158.51,512.15,179.85,363.60,982.39,587.98,288.94,285.67,537.84,332.86,202.46,2955.45
5/26/2020,1186.09,528.28,182.34,392.01,1011.44,609.54,296.50,305.28,571.28,350.29,218.78,3055.73
6/2/2020,1208.56,548.71,187.28,442.27,1065.86,623.16,351.06,317.33,642.58,375.38,234.35,3232.39
6/9/2020,1136.59,522.79,181.82,399.56,1025.39,598.32,299.54,297.85,584.88,348.24,222.04,3066.59
6/16/2020,1165.74,533.85,184.51,394.78,1051.29,604.38,298.27,292.80,583.95,353.33,217.56,3117.86
6/23/2020,1147.04,524.37,177.53,379.56,1033.56,596.52,281.26,285.79,577.25,349.84,213.00,3053.24
6/30/2020,1196.34,541.27,187.73,389.19,1108.60,607.63,284.51,290.44,591.44,367.41,221.59,3179.72
7/7/2020,1180.18,523.08,188.61,391.22,1106.46,617.88,268.87,293.78,577.09,364.83,213.77,3155.22
7/14/2020,1233.55,550.64,192.99,396.40,1142.47,625.30,273.46,301.92,601.01,381.48,215.19,3251.84
7/21/2020,1233.39,548.92,189.90,399.58,1132.31,639.98,284.71,302.51,609.26,392.23,218.37,3239.41
7/28/2020,1241.39,556.52,191.64,399.83,1139.53,640.40,272.81,305.60,608.31,377.34,221.52,3294.61
8/4/2020,1234.88,561.16,196.49,414.73,1175.40,654.13,289.24,311.82,650.15,391.86,225.96,3360.47
8/11/2020,1250.47,567.36,197.08,410.98,1199.92,660.50,285.18,305.18,651.15,395.41,224.20,3381.99
8/18/2020,1236.45,576.14,202.42,412.53,1230.04,663.58,276.87,303.24,656.15,395.67,222.80,3431.28
8/25/2020,1259.88,590.02,209.04,415.53,1253.91,671.53,266.50,299.46,656.22,395.69,224.57,3500.31
9/1/2020,1229.65,568.80,204.60,419.21,1220.14,670.48,260.32,299.79,655.80,404.85,224.44,3426.96
9/8/2020,1232.48,567.63,198.02,414.70,1205.24,665.15,245.09,301.28,662.43,413.76,225.13,3383.54
9/15/2020,1203.72,554.92,190.89,398.24,1156.13,646.37,242.45,293.25,641.33,397.92,214.06,3281.06
9/22/2020,1211.66,566.09,194.71,399.97,1209.21,655.30,234.42,299.29,658.23,399.24,219.02,3351.60
9/29/2020,1239.50,571.52,197.38,410.39,1232.48,663.53,229.01,312.31,666.52,405.32,227.20,3408.60
10/6/2020,1271.84,588.18,203.37,423.89,1287.14,684.04,234.41,324.74,686.01,417.39,230.07,3534.22
10/13/2020,1236.95,565.78,196.61,408.67,1238.00,671.96,223.97,322.49,681.01,411.46,220.19,3426.92
10/20/2020,1242.03,550.91,199.98,410.10,1232.00,663.07,221.99,328.94,668.60,404.43,218.11,3400.97
10/27/2020,1205.91,529.41,196.72,403.78,1175.56,649.88,224.77,323.99,658.54,410.34,216.82,3310.24
11/3/2020,1291.38,584.91,210.94,447.89,1238.56,665.86,249.67,331.70,710.14,436.75,226.42,3550.50
11/10/2020,1302.87,590.78,214.49,458.56,1257.53,698.69,271.09,338.09,741.35,441.89,233.38,3626.91
11/17/2020,1262.42,590.32,211.32,459.26,1253.36,683.18,286.18,321.63,742.96,441.62,227.74,3577.59
11/24/2020,1276.31,603.34,215.31,462.45,1271.42,686.37,274.42,317.73,741.25,445.41,225.82,3621.63
12/1/2020,1300.77,610.74,222.35,476.67,1272.18,690.63,295.55,317.11,748.30,446.55,228.62,3691.96
12/8/2020,1288.29,600.36,220.00,465.81,1265.54,687.93,295.55,312.52,738.42,438.27,222.19,3647.49
12/15/2020,1299.99,615.41,218.61,477.98,1279.10,688.75,288.06,310.45,744.20,450.07,222.84,3694.92
12/22/2020,1303.37,621.46,221.75,483.77,1296.05,693.29,285.82,312.77,745.11,448.83,225.83,3735.36
12/29/2020,1316.89,621.27,218.58,483.80,1287.85,688.69,286.50,310.76,730.44,451.04,220.40,3700.65
1/5/2021,1375.46,621.76,217.41,515.43,1327.00,683.41,317.86,314.05,757.35,481.60,218.40,3799.61
1/12/2021,1363.26,600.23,213.44,513.38,1327.14,675.75,322.58,320.35,751.10,474.04,226.20,3768.25
1/19/2021,1379.86,600.72,226.98,500.26,1372.35,675.78,314.17,325.91,743.26,465.88,231.22,3855.36
1/26/2021,1345.17,592.99,222.62,486.35,1343.85,659.37,298.59,317.53,723.93,450.01,234.17,3773.86
2/2/2021,1349.60,629.23,235.33,518.95,1391.36,678.96,334.50,320.63,758.84,465.83,236.75,3915.59
2/9/2021,1365.94,637.43,237.55,522.92,1368.53,675.23,334.99,317.37,762.72,467.06,238.88,3934.83
2/16/2021,1328.53,625.44,234.59,542.84,1331.88,668.04,357.22,305.02,770.71,472.99,238.31,3876.50
2/23/2021,1327.31,641.86,237.54,552.37,1322.61,655.71,369.47,301.74,783.76,472.82,232.62,3901.82
3/2/2021,1311.39,628.25,234.25,565.84,1255.55,663.55,397.13,305.77,796.38,477.82,230.32,3821.35
3/9/2021,1341.12,654.61,240.79,573.09,1345.76,678.64,395.81,319.17,822.90,493.20,245.04,3968.94
3/16/2021,1349.51,631.22,242.55,559.29,1336.81,685.05,366.39,313.52,812.99,488.52,242.40,3940.59
3/23/2021,1370.87,641.72,238.61,566.80,1320.01,710.88,376.37,326.18,831.57,498.88,249.43,3971.09
3/30/2021,1366.35,656.09,249.75,577.22,1385.00,706.73,370.57,328.76,845.87,505.40,252.42,4077.91
4/6/2021,1376.24,670.60,250.43,586.42,1419.30,711.11,360.91,329.73,852.86,504.22,253.55,4127.99
4/13/2021,1415.09,674.96,251.24,586.42,1423.77,713.95,364.98,339.89,851.50,516.66,259.54,4163.26
4/20/2021,1435.26,687.20,251.01,589.93,1431.35,705.85,361.03,336.47,856.18,523.48,264.58,4187.62
4/27/2021,1429.43,679.78,256.55,605.19,1426.40,720.05,382.43,338.87,870.40,529.00,265.78,4192.66
5/4/2021,1446.02,662.02,252.91,626.55,1391.39,730.55,404.45,338.60,891.14,549.32,265.62,4188.43
5/11/2021,1434.08,658.59,250.58,629.87,1366.27,726.65,410.53,330.94,882.29,556.90,262.07,4163.29
5/18/2021,1447.97,670.11,255.81,626.48,1363.71,730.53,393.76,334.18,874.90,548.61,267.25,4197.05
5/25/2021,1437.44,664.21,257.37,630.13,1380.08,725.46,389.82,329.58,886.44,547.32,269.98,4204.11
6/1/2021,1425.60,667.14,260.04,633.74,1365.69,731.38,414.25,331.02,882.26,543.86,280.72,4226.52
6/8/2021,1449.39,678.92,262.87,616.14,1390.18,726.46,411.85,334.37,868.74,532.59,284.81,4255.15
6/15/2021,1455.73,682.32,260.39,597.63,1395.05,713.99,408.73,327.85,858.47,515.91,281.43,4224.79
6/22/2021,1468.58,685.99,266.34,609.78,1427.93,719.45,404.13,327.53,861.15,515.97,279.93,4290.61
6/29/2021,1495.32,693.55,269.14,614.07,1453.51,721.80,413.52,325.48,873.16,520.31,279.72,4352.34
7/6/2021,1504.15,700.42,270.38,616.06,1483.20,723.34,398.98,329.47,876.10,522.63,289.56,4384.63
7/13/2021,1482.87,690.62,262.89,583.81,1419.47,731.64,355.36,331.59,843.41,497.94,284.40,4258.49
7/20/2021,1522.03,720.27,277.91,605.89,1487.96,738.46,376.34,333.98,875.64,517.57,289.26,4422.30
7/27/2021,1541.20,688.45,272.78,606.39,1442.73,736.57,370.33,337.62,867.26,521.16,290.06,4387.16
8/3/2021,1554.79,691.25,275.44,630.43,1442.15,737.00,368.66,342.36,871.60,527.54,290.84,4432.35
8/10/2021,1574.69,691.05,278.08,639.24,1439.24,754.67,364.35,350.05,890.05,539.69,292.43,4479.71
8/17/2021,1584.42,686.92,279.83,630.48,1431.48,750.45,356.92,349.40,873.27,529.99,292.49,4479.53
8/24/2021,1575.60,686.41,286.17,637.82,1462.61,746.86,364.92,347.19,884.13,538.21,296.05,4528.79
8/31/2021,1592.61,679.40,286.77,631.43,1466.71,754.28,363.88,351.39,881.86,534.50,304.36,4535.43
9/7/2021,1539.73,673.64,284.47,630.30,1463.93,746.07,367.90,345.22,861.94,525.60,293.93,4468.73
9/14/2021,1530.65,657.71,274.63,608.81,1434.90,730.41,358.00,334.42,836.47,498.86,289.97,4357.73
9/21/2021,1517.58,675.45,277.51,644.76,1479.96,731.89,399.83,327.09,853.83,513.20,282.49,4443.11
9/28/2021,1462.89,655.07,267.05,629.86,1423.17,713.86,415.60,328.95,834.04,502.29,281.25,4300.46
10/5/2021,1468.99,655.60,268.50,642.33,1444.38,726.17,427.71,324.72,846.88,509.73,279.32,4361.19
10/12/2021,1480.83,681.50,273.22,656.92,1520.90,731.43,434.89,330.59,870.72,527.92,289.29,4486.46
10/19/2021,1535.83,674.41,270.71,674.12,1557.28,740.87,445.91,340.16,887.72,537.48,298.87,4566.48
10/26/2021,1557.20,638.82,273.31,669.66,1608.80,741.67,443.11,341.18,886.00,535.62,299.43,4613.67
11/2/2021,1557.10,652.14,278.60,668.31,1641.88,752.05,445.91,336.35,903.05,558.26,301.21,4701.70
11/9/2021,1548.39,643.60,278.22,666.75,1611.39,761.05,438.21,341.93,904.56,562.75,302.58,4682.80
11/16/2021,1540.50,603.71,271.53,657.08,1664.42,755.94,419.38,342.65,894.80,554.88,299.46,4682.94
11/23/2021,1540.15,603.90,268.96,645.94,1639.09,752.33,421.22,342.60,872.81,544.19,302.34,4655.27
11/30/2021,1525.25,611.00,262.45,640.08,1592.34,756.77,421.64,345.83,876.33,541.90,302.66,4591.67
12/7/2021,1579.84,627.08,264.32,640.40,1575.00,780.52,418.67,353.54,879.25,549.16,310.76,4668.97
12/14/2021,1593.56,620.44,261.28,627.21,1519.53,780.44,403.90,353.67,849.69,538.50,309.42,4568.02
12/21/2021,1642.59,657.05,272.06,652.70,1617.45,793.22,427.74,356.13,888.53,563.50,319.60,4791.19
12/28/2021,1627.82,664.91,268.97,658.13,1655.17,804.55,435.83,360.29,887.59,561.82,321.63,4796.56
1/4/2022,1583.79,637.60,260.36,682.86,1559.68,801.77,466.32,355.56,890.39,555.60,306.87,4670.29
1/11/2022,1563.07,634.72,261.66,679.12,1545.90,804.27,491.98,352.83,895.18,557.86,302.59,4662.85
1/18/2022,1503.89,598.75,244.27,636.91,1431.83,789.21,479.43,346.45,860.20,528.09,294.47,4410.13
